순위,도서명,저자명,출판사,출판년도,ISBN13,주제분류명,대출건수
1,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,문학 > 한국문학 > 소설,10098
2,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,문학 > 한국문학 > 소설,8926
3,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,문학 > 한국문학 > 소설,7939
4,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,문학 > 한국문학 > 소설,7843
5,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,문학 > 한국문학 > 소설,7814
6,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,자연과학 > 동물학 > 동물학,6510
7,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,문학 > 한국문학 > 소설,6471
8,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,문학 > 한국문학 > 소설,6415
9,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,문학 > 한국문학 > 소설,6257
10,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,문학 > 한국문학 > 소설,5625
11,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,문학 > 한국문학 > 소설,5475
12,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,문학 > 한국문학 > 소설,5406
13,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,문학 > 한국문학 > 소설,5186
14,이끼숲 :천선란 연작소설 ,지은이: 천선란 ;일러스트: 점선면,자이언트북스,2023,9791191824216,문학 > 한국문학 > 소설,5100
15,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,문학 > 한국문학 > 소설,5099
16,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,문학 > 한국문학 > 소설,4800
17,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,문학 > 한국문학 > 소설,4704
18,단 한 사람 :최진영 장편소설 ,지은이: 최진영,한겨레엔,2023,9791160405750,문학 > 한국문학 > 소설,4533
19,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,문학 > 한국문학 > 소설,4491
20,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,문학 > 한국문학 > 소설,4408
21,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,9791160408331,문학 > 한국문학 > 소설,4362
22,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,문학 > 한국문학 > 소설,4227
23,혼모노 :성해나 소설집 ,지은이: 성해나,창비,2025,9788936439743,문학 > 한국문학 > 소설,4194
24,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,9791189015381,문학 > 한국문학 > 소설,4163
25,귀신들의 땅 :천쓰홍 장편 소설 ,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,9788937454820,문학 > 중국문학 > 소설,4118
26,해가 지는 곳으로 :최진영 장편소설 ,지은이: 최진영,민음사,2017,9788937473166,문학 > 한국문학 > 소설,4088
27,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,문학 > 한국문학 > 소설,3964
28,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,문학 > 한국문학 > 소설,3935
29,모우어 :천선란 소설 ,지은이: 천선란,문학동네,2024,9791141601447,문학 > 한국문학 > 소설,3903
30,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,9788925588735,문학 > 영미문학 > 소설,3893
31,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,9791130646381,문학 > 영미문학 > 소설,3793
32,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,9791141601300,문학 > 한국문학 > 소설,3695
33,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,9788954616515,문학 > 한국문학 > 소설,3648
34,구의 증명 ,최진영 지음,은행나무,2023,9791167372864,문학 > 한국문학 > 소설,3638
35,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,문학 > 한국문학 > 소설,3587
